YEAR,crash_count
2003.0,141681
2004.0,138635
2005.0,158084
2006.0,149860
2007.0,144509
2008.0,136384
2009.0,117776
2010.0,115643
2011.0,120632
2012.0,122646
2013.0,125285
2014.0,130233
2015.0,139050
2016.0,143474
2017.0,145068
2018.0,142162
2019.0,140880
2020.0,100487
2021.0,125178
2022.0,134372
2023.0,135839
2024.0,135039
